state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Madhya Pradesh,agar malwa,1,143,53,1,8.0,55.0,34,67,197,63.0,101,164.0,361.0,1.0,0.0,532.5,0.6015382066860895,1.7886965992980757,0.6424469760118552,1,0.1288878131429263,0.6399285812413392,0.6606564019448946,0.47244774179651683,0.44414000408265075
Madhya Pradesh,alirajpur,1,151,173,6,38.0,176.0,189,202,330,214.0,391,605.0,935.0,1.0,0.0,856.1111111111111,0.48985988220093807,1.8111437980241494,0.8578129415089009,1,0.06766190998902305,0.7420699615743265,0.6044609091610713,0.7313792365699566,0.3315289248814805
Madhya Pradesh,anuppur,1,174,29,0,21.0,151.0,199,407,203,172.0,606,778.0,981.0,1.0,0.0,658.5,0.7955415915698832,2.584384589157859,0.7515239084300357,1,0.05612853733378793,0.7346213465878298,0.638776337115073,0.6035894154177761,0.6397637353766203
Madhya Pradesh,ashok nagar,1,119,56,2,35.0,201.0,245,335,177,236.0,580,816.0,993.0,1.0,0.0,1017.2222222222222,0.5632068341346989,1.9287738820071383,0.7412103792800844,1,0.06864671125641103,0.8278360691175906,0.5764837539553909,0.5911896032514338,0.40548848195269493
Madhya Pradesh,balaghat,1,446,48,10,55.0,359.0,826,513,504,414.0,1339,1753.0,2257.0,1.0,0.0,1228.2857142857142,0.6055784117046272,1.9757051202303304,0.6692071933734075,1,0.050935717205466795,0.7828336203844062,0.5398323024509641,0.5046211776776099,0.4482139535211741
Madhya Pradesh,barwani,1,389,189,4,53.0,508.0,452,704,582,561.0,1156,1717.0,2299.0,1.0,0.0,2708.6666666666665,0.6241952110388916,1.8586892016172414,0.7976471658698776,1,0.08460323795311388,0.8503481725285713,0.2827622134753416,0.659042764163738,0.4669862432557133
Madhya Pradesh,betul,1,264,60,12,69.0,254.0,662,922,336,323.0,1584,1907.0,2243.0,1.0,0.0,1187.75,0.601992529557867,2.138282810960849,0.8066861489357292,1,0.03789477042596721,0.7752508056681247,0.5468713822644131,0.6699102073601183,0.4445981215296352
Madhya Pradesh,bhind,1,287,213,5,97.0,526.0,478,453,505,623.0,931,1554.0,2059.0,1.0,0.0,1604.2,0.4346953424600656,1.7340308834697493,0.6641121747337199,1,0.07962594370293895,0.8560350100764698,0.47455429497568885,0.49849550787073893,0.2759036423345396
Madhya Pradesh,bhopal,1,721,90,2,107.0,883.0,1168,1642,813,990.0,2810,3800.0,4613.0,1.0,0.0,1917.125,0.4427614227849332,1.4291298291010779,0.7127777938329046,1,0.05249502842610752,0.9358336602991608,0.42021445936559393,0.5570055025597542,0.284037091815396
Madhya Pradesh,burhanpur,1,235,82,4,30.0,103.0,176,262,321,133.0,438,571.0,892.0,1.0,0.0,1206.4444444444443,0.6143358629599225,1.8897096668962268,0.8034889485155838,1,0.07871253035630142,0.7324799616874411,0.5436250675310643,0.6660662579135663,0.45704454836987785
