state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Nagaland,chumukedima,4,16,57,13,0.0,0.0,27,63,86,0.0,90,90.0,176.0,1.0,0.0,34.166666666666664,0.41162256457134183,1.6151761517615175,0.4868421052631579,1,0.06172839506172839,0.5091634099192657,0.7137757009345794,0.3387836611758731,0.5561308754577121
Nagaland,dimapur,1,1,4,0,2.0,63.0,40,109,5,65.0,149,214.0,219.0,1.0,0.0,378.77777777777777,0.3974900328157883,1.5152697797549193,0.8166526239768898,1,0.09303785377036652,0.8976912277810921,0.25,0.677561760517013,0.5388407057015692
Nagaland,kiphire,1,0,3,0,2.0,5.0,5,8,3,7.0,13,20.0,23.0,1.0,0.0,129.57142857142858,0.5363058516856598,1.7625813077713113,0.7602836879432624,1,0.15525504964053408,0.7179754505378517,0.5853805073431242,0.619660147536834,0.7086722061441488
Nagaland,kohima,1,1,2,0,2.0,10.0,13,42,3,12.0,55,67.0,70.0,1.0,0.0,213.625,0.4387919699601707,1.5840959293152415,0.8587113550996822,1,0.08988114021247502,0.8252273392877345,0.47226168224299064,0.7207640726993212,0.5893707534549235
Nagaland,longleng,4,131,226,12,0.0,0.0,100,251,369,0.0,351,351.0,720.0,1.0,0.0,136.28571428571428,0.3491943149352269,1.5900040633888664,0.8059475806451613,1,0.19382364892320195,0.6171174787383016,0.5763444592790388,0.6665656459981932,0.47975425359991
Nagaland,meluri,9,1,2,1,0.0,28.0,10,222,4,28.0,232,260.0,264.0,1.0,0.0,7.333333333333333,0.1613992076130084,1.2256944444444444,0.8871733966745843,1,0.02546296296296296,0.7500224299065421,0.7498878504672897,0.75,0.25
Nagaland,mokokchung,1,0,7,0,1.0,6.0,6,34,7,7.0,40,47.0,54.0,1.0,0.0,76.28571428571429,0.4787083452720179,1.65614371675242,0.8232872953443703,1,0.046568413708903814,0.7332866566235305,0.6570921228304406,0.6843768292552512,0.6382056626650543
Nagaland,mon,1,0,9,0,3.0,13.0,18,31,9,16.0,49,65.0,74.0,1.0,0.0,328.57142857142856,0.5223034282990358,1.756859756097561,0.7975479213343291,1,0.12521777003484322,0.7793273590561819,0.31756742323097464,0.6579375991198377,0.6915412149290059
Nagaland,niuland,6,2,9,1,0.0,0.0,11,73,12,0.0,84,84.0,96.0,1.0,0.0,8.0,0.2474618611998145,1.2953692115143929,0.5968379446640316,1,0.05006257822277847,0.774996008548559,0.7489906542056075,0.4517702983304198,0.3552916714370909
Nagaland,noklak,1,0,3,0,0.0,2.0,1,2,3,2.0,3,5.0,8.0,1.0,0.0,52.857142857142854,0.481699566270591,1.6824561403508773,0.6440298507462686,1,0.21637426900584794,0.6238107338393865,0.6886221628838451,0.5002453570070737,0.6418652135323747
Nagaland,peren,1,1,2,0,5.0,3.0,14,3,3,8.0,17,25.0,28.0,1.0,0.0,167.77777777777777,0.570086107593632,1.9242669129531287,0.8066275167785235,1,0.17432463634264603,0.7062147663754771,0.5339626168224298,0.6672640696622782,0.75
Nagaland,phek,1,0,1,0,0.0,3.0,4,13,1,3.0,17,20.0,21.0,1.0,0.0,154.0,0.4972820513106644,1.5684821786143373,0.8641975308641975,1,0.10792951541850221,0.7951872089324954,0.5525046728971963,0.7263994181255449,0.6609293002951412
Nagaland,shamator,1,0,4,0,0.0,2.0,1,2,4,2.0,3,5.0,9.0,1.0,0.0,50.2,0.5663638948054068,1.670731707317073,0.4004085801838611,1,0.2040650406504065,0.5761318288399901,0.6921981308411215,0.25,0.745446131514857
Nagaland,tseminyu,9,2,4,3,2.0,13.0,11,14,9,15.0,25,40.0,49.0,1.0,0.0,7.25,0.24704915864840218,1.2483221476510067,0.5464684014869888,1,0.09731543624161074,0.6080353552987945,0.75,0.4000312022920327,0.35478675856683267
Nagaland,tuensang,1,0,3,0,1.0,7.0,5,23,3,8.0,28,36.0,39.0,1.0,0.0,208.75,0.47359640542319315,1.844708645237047,0.7423887587822015,1,0.12255981212388081,0.7643935403329464,0.47882242990654206,0.6012786534817866,0.6319515597698219
Nagaland,wokha,1,2,1,0,0.0,9.0,10,17,3,9.0,27,36.0,39.0,1.0,0.0,84.28571428571429,0.49231600181265367,1.7020700636942676,0.8558875219683656,1,0.09394904458598727,0.7467310283689457,0.6463257676902536,0.7178634592658415,0.6548536840981868
Nagaland,zunheboto,1,0,4,0,0.0,10.0,2,12,4,10.0,14,24.0,28.0,1.0,0.0,112.71428571428571,0.44624543317273413,1.360762331838565,0.7660804329110811,1,0.08845291479820627,0.7879993107651563,0.6080667556742323,0.6256145065737193,0.5984895473444716
