state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Arunachal Pradesh,anjaw,6,3,18,0,0.0,0.0,94,137,21,0.0,231,231.0,252.0,1.0,0.0,11.4,0.3335790678984934,1.6440886699507389,0.6509253350350989,1,0.035098522167487683,0.8207975988629833,0.7171578947368421,0.5129373189294357,0.3342981798927588
Arunachal Pradesh,changlang,1,6,2,0,5.0,23.0,35,31,8,28.0,66,94.0,102.0,1.0,0.0,159.33333333333334,0.6413140431046765,2.0230479774223893,0.6207627118644068,1,0.07494512386328002,0.8599191775113713,0.25,0.47340038862759803,0.5173893308630313
Arunachal Pradesh,dibang valley,1,0,2,0,1.0,2.0,0,1,2,3.0,1,4.0,6.0,1.0,0.0,3.3333333333333335,0.7656377594067089,2.570162481536189,0.7701674277016742,1,0.029542097488921712,0.5592007496091039,0.7426315789473684,0.6692389204222574,0.5913574337586797
Arunachal Pradesh,east kameng,1,1,3,0,3.0,6.0,18,5,4,9.0,23,32.0,36.0,1.0,0.0,44.833333333333336,0.671679402287816,2.160224089635854,0.6590640975226111,1,0.05023342670401494,0.7562995159406628,0.611578947368421,0.5236055450777717,0.5354556184494254
Arunachal Pradesh,east siang,1,0,3,0,0.0,14.0,15,9,3,14.0,24,38.0,41.0,1.0,0.0,38.666666666666664,0.551208930142601,1.5981577432354634,0.593693512753565,1,0.0445212051429668,0.8209123121454958,0.6310526315789473,0.43791829436426394,0.46378005609834294
Arunachal Pradesh,kamle,6,1,1,0,0.0,0.0,24,47,2,0.0,71,71.0,73.0,1.0,0.0,6.6,0.7837919545739663,2.4803767660910516,0.4503311258278146,1,0.05180533751962323,0.7530268615968311,0.7323157894736843,0.25,0.6021585215644616
Arunachal Pradesh,kra daadi,1,1,2,0,0.0,4.0,5,1,3,4.0,6,10.0,13.0,1.0,0.0,17.0,0.5344138491072253,1.8081494057724956,0.6431226765799256,1,0.0865874363327674,0.7003771223605854,0.6994736842105262,0.5027096553152517,0.45378759191598717
Arunachal Pradesh,kurung kumey,1,0,1,0,0.0,1.0,2,4,1,1.0,6,7.0,8.0,1.0,0.0,16.166666666666668,0.5250987964554209,1.491063829787234,0.831779849090102,1,0.04127659574468085,0.7836430113001425,0.7021052631578948,0.75,0.4482454733764066
Arunachal Pradesh,leparada,6,1,0,0,0.0,0.0,3,13,1,0.0,16,16.0,17.0,1.0,0.0,1.0,0.46453665808351186,1.7777777777777777,0.6842105263157895,1,0.04040404040404041,0.8064791633115312,0.75,0.5565672870625358,0.4122131971871158
Arunachal Pradesh,lohit,1,4,2,0,0.0,20.0,13,21,6,20.0,34,54.0,60.0,1.0,0.0,36.5,0.4492229233071933,1.496084913868105,0.6859623733719248,1,0.03810683835044371,0.8206848025763247,0.6378947368421053,0.5588635944680933,0.40310208031139805
Arunachal Pradesh,longding,1,0,2,0,1.0,3.0,5,11,2,4.0,16,20.0,22.0,1.0,0.0,143.28571428571428,0.541426040712018,2.005957271980279,0.6905562742561449,1,0.2060394412489729,0.8548952470707458,0.3006766917293234,0.5648852437803932,0.4579595916403779
