state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Assam,bajali,1,2,1,0,0.0,18.0,0,1,3,18.0,1,19.0,22.0,1.0,0.0,6.0,0.5782166706113404,1.856356126663607,0.4602140530479293,1,0.013767783386874713,0.7258447004554114,0.75,0.40573401352248484,0.5437836875879222
Assam,baksa,1,43,24,4,21.0,243.0,177,143,71,264.0,320,584.0,655.0,1.0,0.0,397.9,0.5130453794458889,2.0108158016223703,0.5918573837629487,1,0.0874716964540878,0.7479095054147358,0.6682519816437213,0.5288187688819936,0.45997426696910904
Assam,barpeta,1,165,76,3,72.0,1521.0,844,1395,244,1593.0,2239,3832.0,4076.0,1.0,0.0,1561.8,0.4188979228155577,1.5885140757355714,0.618864233067785,1,0.0807177669014776,0.9000694088455786,0.4254693366708386,0.5540698121491452,0.33890187985173104
Assam,biswanath,1,20,22,3,16.0,142.0,88,58,45,158.0,146,304.0,349.0,1.0,0.0,211.71428571428572,0.52050569585964,1.7845582247557004,0.53379940548277,1,0.07542752442996743,0.7431859429005989,0.7070892186661899,0.47453533489054295,0.46956813545150844
Assam,bongaigaon,1,60,24,2,46.0,586.0,256,311,86,632.0,567,1199.0,1285.0,1.0,0.0,354.2,0.47478071449392395,1.6536508448903071,0.5761743353982416,1,0.04397650944216133,0.8222620152397303,0.6773675427617856,0.5141553281989246,0.4107664126754803
Assam,cachar,1,172,159,11,109.0,1222.0,723,509,342,1331.0,1232,2563.0,2905.0,1.0,0.0,2403.0,0.44880079358489755,1.6079101528161635,0.6030185487871321,1,0.13519272558492795,0.8847554025568612,0.25,0.5392543090576114,0.3773565771455936
Assam,charaideo,1,3,19,24,8.0,65.0,19,20,46,73.0,39,112.0,158.0,1.0,0.0,174.375,0.5892202888573976,1.7975518893028206,0.5578039666570853,1,0.07424161788185205,0.5052412428650992,0.714877972465582,0.4969792788686017,0.5579341954790644
Assam,chirang,1,45,47,0,22.0,280.0,247,335,92,302.0,582,884.0,976.0,1.0,0.0,413.55555555555554,0.5158915365569778,1.983565961278703,0.6674789543642002,1,0.07617371372436658,0.7735287275811885,0.6649863254994669,0.5995239270301602,0.4636343874639586
Assam,darrang,1,113,83,5,55.0,590.0,332,303,201,645.0,635,1280.0,1481.0,1.0,0.0,956.8888888888889,0.5025043903882422,1.610574987156167,0.5068052423234027,1,0.11957955539510406,0.8010970163111282,0.5516502109117879,0.449296152999908,0.44641869411068846
Assam,dhemaji,1,47,50,1,48.0,192.0,115,117,98,240.0,232,472.0,570.0,1.0,0.0,731.7,0.5535654748634691,1.7832781134281814,0.5561029232147219,1,0.12963980085398913,0.7443664015635876,0.5986232790988736,0.49538882597727785,0.5120825750851017
Assam,dhubri,1,170,145,13,170.0,1719.0,679,501,328,1889.0,1180,3069.0,3397.0,1.0,0.0,1528.6666666666667,0.5174048481206853,2.0723828811388745,0.42783548631972335,1,0.08194895315245555,0.8000590166615298,0.4323807537199277,0.3754604862348767,0.465580486169416
Assam,dibrugarh,1,46,34,16,29.0,299.0,120,78,96,328.0,198,526.0,622.0,1.0,0.0,774.0,0.3775581869252769,1.4905365104674166,0.5890255692235891,1,0.11427052883337763,0.788397907795732,0.5897997496871089,0.5261710601229747,0.28573952490155213
Assam,dima hasao,1,6,14,0,1.0,18.0,34,19,20,19.0,53,72.0,92.0,1.0,0.0,165.11111111111111,0.647492761487726,2.1718863801893664,0.685033575568025,1,0.12025572549971676,0.6360664560725627,0.7168103648078616,0.6159372633121106,0.6328718264794222
Assam,goalpara,1,82,61,13,97.0,634.0,394,437,156,731.0,831,1562.0,1718.0,1.0,0.0,1167.7777777777778,0.5667030662449968,2.0830229056035505,0.5380414774818996,1,0.13883384851126787,0.7636950951988347,0.5076600380104761,0.4785016155322914,0.5289773442744566
Assam,golaghat,1,41,54,2,23.0,298.0,170,92,97,321.0,262,583.0,680.0,1.0,0.0,1389.0,0.504116737874882,1.6450238198354266,0.5553246064036794,1,0.21656128194023386,0.8124119646904587,0.46151439299123903,0.49466111015788145,0.44849215170643286
Assam,hailakandi,1,88,65,0,48.0,380.0,227,157,153,428.0,384,812.0,965.0,1.0,0.0,757.5,0.5330029554524067,1.8727265964964481,0.5543655950035629,1,0.11269386692453602,0.7536028450291242,0.5932415519399249,0.49376444731192337,0.4856394464085625
Assam,hojai,1,55,49,0,71.0,673.0,469,468,104,744.0,937,1681.0,1785.0,1.0,0.0,826.2222222222222,0.47509100142559213,1.882613149562302,0.5416023301516002,1,0.11541565778853914,0.8326296714351507,0.578906503499745,0.48183096520265306,0.41116543757591817
Assam,jorhat,1,37,30,21,10.0,155.0,133,69,88,165.0,202,367.0,455.0,1.0,0.0,579.0,0.5799015567688136,1.7821381205001894,0.6011671574852079,1,0.12341322470632815,0.659274506467622,0.6304755944931164,0.5375232829263645,0.5459504289573389
Assam,kamrup,1,147,61,7,52.0,871.0,457,317,215,923.0,774,1697.0,1912.0,1.0,0.0,1480.9,0.4682110485280462,1.917033364665563,0.559834168184578,1,0.12318557275593302,0.8166616942023911,0.44234459741343346,0.4988774901717089,0.40231790891848807
Assam,kamrup metropolitan,1,56,51,5,28.0,492.0,265,377,112,520.0,642,1162.0,1274.0,1.0,0.0,739.6666666666666,0.4703694179155746,1.7045083671967491,0.6226073877777579,1,0.10650177582952036,0.8163974437919078,0.5969614796273119,0.5575696117914619,0.4050935434749817
Assam,karbi anglong,1,28,27,15,14.0,315.0,255,576,70,329.0,831,1160.0,1230.0,1.0,0.0,1061.5,0.5714150245558753,1.825242718446602,0.6284707954211917,1,0.11081532519052092,0.768567356451003,0.5298289528577389,0.5630518195983081,0.5350368604962878
Assam,karimganj,1,251,237,2,120.0,1053.0,1163,390,490,1173.0,1553,2726.0,3216.0,1.0,0.0,1816.0,0.7385731465306647,2.602341933872548,0.5536019508192985,1,0.15699986551651265,0.6820500886199786,0.37244472256987904,0.4930504502025266,0.75
Assam,kokrajhar,1,76,42,1,66.0,679.0,271,286,119,745.0,557,1302.0,1421.0,1.0,0.0,517.8,0.4778054018585686,2.0527497025109582,0.6208851350247504,1,0.07799484854418653,0.7858088492642415,0.6432415519399249,0.555959328478059,0.41465612072101155
Assam,lakhimpur,1,90,55,2,32.0,266.0,198,327,147,298.0,525,823.0,970.0,1.0,0.0,786.8,0.5608194448552789,1.845834241674254,0.5399997147461955,1,0.10089637219322656,0.7509312846431023,0.5871297455152273,0.4803325412108092,0.5214110847912609
Assam,majuli,1,9,3,0,6.0,46.0,24,11,12,52.0,35,87.0,99.0,1.0,0.0,80.42857142857143,0.47592624721635646,1.5297582145071296,0.5282730514518594,1,0.08725976441413515,0.7940245166816613,0.7344746409201979,0.46936826770810297,0.41223955264324963
Assam,marigaon,1,110,84,3,135.0,1056.0,511,735,197,1191.0,1246,2437.0,2634.0,1.0,0.0,1085.4,0.5180764298254836,2.0364547509089124,0.4603480135509701,1,0.10665225508499558,0.8043900478617179,0.5248435544430539,0.4058592648030097,0.46644413138145346
Assam,nagaon,1,184,174,7,119.0,2096.0,1792,4956,365,2215.0,6748,8963.0,9328.0,1.0,0.0,1559.6666666666667,0.5629725126789267,2.1586708073562426,0.5777757545409022,1,0.054901945446154087,0.8227225971018811,0.42591433736615214,0.5156526337010858,0.5241799016065488
Assam,nalbari,1,43,38,2,26.0,294.0,199,140,83,320.0,339,659.0,742.0,1.0,0.0,535.0,0.6304548729477553,1.7499202842436115,0.6107858476757685,1,0.0974809820981187,0.7530421863178852,0.6396537338339592,0.5465166297412289,0.6109613266018343
Assam,sivasagar,1,18,19,0,10.0,135.0,137,89,37,145.0,226,371.0,408.0,1.0,0.0,385.1111111111111,0.5162550569006001,1.6265506496560644,0.6246726891856507,1,0.10188723616908696,0.8065761867920547,0.6709196681036481,0.559500641013781,0.4641018698298487
Assam,sonitpur,1,133,86,3,39.0,548.0,287,240,222,587.0,527,1114.0,1336.0,1.0,0.0,1003.4,0.5823524357098037,2.0682701084764474,0.5257899738655263,1,0.10650221835396013,0.7253844311725111,0.5419482686691698,0.46704662334076225,0.5491022269404379
Assam,south salmara mankachar,1,24,6,0,12.0,211.0,45,32,30,223.0,77,300.0,330.0,1.0,0.0,225.85714285714286,0.7058332954517796,1.9795866680174248,0.2936512306591047,1,0.08008307162394894,0.7192817826210897,0.7041391024494904,0.25,0.7078969834570014
Assam,sribhumi,1,10,4,0,2.0,113.0,2,10,14,115.0,12,127.0,141.0,1.0,0.0,31.0,0.6779464036089696,2.220642490776568,0.452914798206278,1,0.01673715468370377,0.6914488094048984,0.744785148101794,0.3989093077693596,0.6720348084653787
Assam,tamulpur,6,1,0,0,0.0,0.0,17,289,1,0.0,306,306.0,307.0,1.0,0.0,11.6,0.3497666693813516,1.563973063973064,0.4896978021978022,1,0.019528619528619527,0.8936284629904281,0.7488318731748018,0.4333009250514043,0.25
Assam,tinsukia,1,70,88,225,25.0,488.0,144,135,383,513.0,279,792.0,1175.0,1.0,0.0,956.8,0.5602085451570217,2.0353396063162448,0.46316770186335404,1,0.12935323383084577,0.48547645971226216,0.551668752607426,0.40849563570182235,0.5206254758390434
Assam,udalguri,1,66,58,1,31.0,388.0,293,323,125,419.0,616,1035.0,1160.0,1.0,0.0,565.3333333333334,0.4934983919663317,1.960497754491018,0.6010713103904699,1,0.09520958083832336,0.7772732496560805,0.6333263801974691,0.5374336671733775,0.4348370989583372
Assam,west karbi anglong,1,2,2,14,6.0,45.0,127,211,18,51.0,338,389.0,407.0,1.0,0.0,218.77777777777777,0.38301059794829717,1.5844734330257715,0.8284182305630027,1,0.20882384134054513,0.6664863432666295,0.7056158160663792,0.75,0.2927512535422332
