state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Manipur,bishnupur,1,16,20,1,52.0,110.0,52,86,37,162.0,138,300.0,337.0,1.0,0.0,172.85714285714286,1.053503500934291,2.674094529666225,0.365724237837134,1,0.019314572126358804,0.6776405576037894,0.6145271229764271,0.305009492688287,0.5856823681158472
Manipur,chandel,1,4,28,0,17.0,31.0,34,20,32,48.0,54,102.0,134.0,1.0,0.0,144.0,0.7997608856102266,2.469615543613063,0.4370695970695971,1,0.059528730880529145,0.7170556494701439,0.6374751491053678,0.44544880171900597,0.3821071871095934
Manipur,churachandpur,1,18,29,3,19.0,50.0,76,64,50,69.0,140,209.0,259.0,1.0,0.0,631.25,0.6831015591100198,2.3853752027126642,0.591786355475763,1,0.12408472160794143,0.6512606312712921,0.25,0.75,0.2885125677035603
Manipur,imphal east,1,29,52,0,97.0,445.0,291,316,81,542.0,607,1149.0,1230.0,1.0,0.0,212.5,0.9675498643862974,2.9242272001891365,0.3916339947525414,1,0.012559843962409126,0.8090920052454746,0.5830019880715706,0.3560113854182353,0.5167226188988852
Manipur,imphal west,1,15,56,0,114.0,312.0,297,308,71,426.0,605,1031.0,1102.0,1.0,0.0,197.85714285714286,1.2583142516950183,3.965378920446897,0.44218082689686505,1,0.01242877013505631,0.7133070495927871,0.5946464072706618,0.45550996887775363,0.75
Manipur,jiribam,1,1,1,0,3.0,32.0,1,1,2,35.0,2,37.0,39.0,1.0,0.0,26.333333333333332,0.6350982632090019,1.8773519163763066,0.39491150442477874,1,0.05505226480836237,0.8918195607520533,0.7310470510271703,0.3624629780468568,0.25
Manipur,kakching,1,4,7,0,8.0,42.0,9,8,11,50.0,17,67.0,78.0,1.0,0.0,22.166666666666668,0.6579132975850759,1.7901234567901234,0.3377785576416915,1,0.022805212620027434,0.824587624997827,0.7343605036447979,0.25,0.26830427556223224
Manipur,pherzawl,9,1,6,0,1.0,8.0,3,16,7,9.0,19,28.0,35.0,1.0,0.0,2.5,0.6912706408168648,2.064516129032258,0.5699588477366255,1,0.020161290322580645,0.7595180355346336,0.75,0.7070337841490282,0.29506654085072737
Manipur,senapati,1,16,21,0,15.0,51.0,74,95,37,66.0,169,235.0,272.0,1.0,0.0,292.3333333333333,0.8644774520165519,2.7741743119266054,0.4356449839889117,1,0.04022935779816514,0.7928987009148802,0.5195162359178264,0.4426445313524403,0.4340286458028642
Manipur,tamenglong,1,1,20,0,11.0,9.0,8,19,21,20.0,27,47.0,68.0,1.0,0.0,187.0,0.9085394038695382,2.782316194137434,0.41568981064021643,1,0.0673954829408938,0.6398554144498725,0.6032803180914513,0.4033638999725115,0.46937911230808527
Manipur,thoubal,1,20,39,0,164.0,604.0,340,286,59,768.0,626,1394.0,1453.0,1.0,0.0,199.0,0.8484441831410576,2.6305488670741495,0.35935741967745966,1,0.012286225844292153,0.8583837116071068,0.5937375745526838,0.292476770830997,0.42116531336939755
Manipur,ukhrul,1,2,7,0,8.0,25.0,23,21,9,33.0,44,77.0,86.0,1.0,0.0,139.83333333333334,1.0163746693814668,3.1340124355073424,0.40946973166040845,1,0.036997839220355426,0.7511263446161187,0.6407886017229953,0.39112002590083594,0.5558942751923797
