state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Mizoram,aizawl,1,3,0,0,0.0,6.0,17,9,3,6.0,26,32.0,35.0,1.0,0.0,225.83333333333334,0.5174392389058511,1.5748168817579353,0.7462566355482336,1,0.04726194628531566,0.8412316669987504,0.25722516919700017,0.6884983027284912,0.676168549577956
Mizoram,champhai,4,275,76,17,58.0,546.0,2757,965,368,604.0,3722,4326.0,4694.0,1.0,0.0,186.28571428571428,0.5535192608036211,2.202278820375335,0.6912455934195064,1,0.08739946380697051,0.7373180137593981,0.3440317228043586,0.592222897151929,0.75
Mizoram,hnahthial,6,1,0,1,0.0,0.0,5,7,2,0.0,12,12.0,14.0,1.0,0.0,1.3333333333333333,0.4162302581421518,1.393939393939394,0.6,1,0.04040404040404041,0.6664307058053429,0.75,0.43253302083617684,0.469062083104816
Mizoram,khawzawl,6,2,1,3,0.0,0.0,6,36,6,0.0,42,42.0,48.0,1.0,0.0,8.0,0.35271604894177694,1.26984126984127,0.6711409395973155,1,0.21164021164021163,0.720243512019965,0.7353667459301262,0.557037530254525,0.3390913696457248
Mizoram,kolasib,1,2,0,0,3.0,5.0,9,9,2,8.0,18,26.0,28.0,1.0,0.0,54.142857142857146,0.5258042611770737,1.7361914781693846,0.7730103806228373,1,0.04984218832193582,0.7543961088809247,0.6340837231179284,0.7353203144206559,0.69328610368718
Mizoram,lawngtlai,1,21,4,0,4.0,30.0,74,23,25,34.0,97,131.0,156.0,1.0,0.0,229.125,0.4788863835019806,1.8268445412469372,0.7813982424760868,1,0.12476177511570923,0.7830744817950461,0.25,0.75,0.5972768781581275
Mizoram,lunglei,1,1,0,0,0.0,18.0,8,8,1,18.0,16,34.0,35.0,1.0,0.0,100.5,0.49475273923233437,1.66584274166611,0.6561242499117543,1,0.05371100273899392,0.8227989189146279,0.5323303457106274,0.5307566631058585,0.6297445983774583
Mizoram,mamit,1,0,2,0,1.0,4.0,7,15,2,5.0,22,27.0,29.0,1.0,0.0,46.333333333333336,0.4869404041967207,1.5059396893085593,0.7402989821882952,1,0.04233932378921718,0.7931645541798363,0.6512255350283519,0.6780717506888032,0.6137580219696995
Mizoram,saiha,1,1,1,0,0.0,2.0,1,1,2,2.0,2,4.0,6.0,1.0,0.0,83.75,0.461059096146333,1.5685197895218486,0.7116995406646852,1,0.15328300160146419,0.6419894165332545,0.5690963965611853,0.6280195661563661,0.5607964545517499
Mizoram,saitual,6,0,0,1,0.0,0.0,4,35,1,0.0,39,39.0,40.0,1.0,0.0,2.8,0.3091787955173157,1.5151515151515154,0.49570200573065903,1,0.03856749311294766,0.6743353725815282,0.7467806841046278,0.25,0.25
Mizoram,serchhip,1,3,0,0,0.0,4.0,4,4,3,4.0,8,12.0,15.0,1.0,0.0,25.333333333333332,0.5276826649097001,1.694953481815619,0.730780559646539,1,0.04285311530871159,0.6620049495578886,0.6973202853484544,0.6614134589132667,0.6971299281851513
