state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Jammu and Kashmir,anantnag,1,180,36,0,83.0,549.0,1553,635,216,632.0,2188,2820.0,3036.0,1.0,0.0,668.5,0.5446971813671497,2.0791811048711515,0.6611414948815033,1,0.053252081092922295,0.8291929751172831,0.3271819573816511,0.3787052674966382,0.5355759357269193
Jammu and Kashmir,bandipore,1,67,38,1,42.0,210.0,343,191,106,252.0,534,786.0,892.0,1.0,0.0,306.3333333333333,0.5516272726971316,1.9931567328918323,0.6843579827953595,1,0.06762325239146431,0.632363280216967,0.5697971162434605,0.4370039135601464,0.5469455513757018
Jammu and Kashmir,baramulla,1,328,65,2,103.0,574.0,656,663,395,677.0,1319,1996.0,2391.0,1.0,0.0,671.5714285714286,0.4398971423429551,1.704774457392033,0.7203096193825917,1,0.05790692518045872,0.7489752401958422,0.3251244098507082,0.5272816396563496,0.3636393613086979
Jammu and Kashmir,budgam,1,141,16,0,57.0,367.0,385,334,157,424.0,719,1143.0,1300.0,1.0,0.0,528.1666666666666,0.4452641777146273,1.674444353317477,0.6660526719733351,1,0.0649758057902075,0.8376947667582494,0.4211911445706265,0.391037665751459,0.3724446030355039
Jammu and Kashmir,doda,1,188,63,0,23.0,256.0,248,331,251,279.0,579,858.0,1109.0,1.0,0.0,726.8571428571429,0.46604587044053153,1.5992788409322938,0.7941830081320668,1,0.11051979929187393,0.7461491995376139,0.2880885542937348,0.7127842255856894,0.4065393714265647
Jammu and Kashmir,ganderbal,1,79,7,0,29.0,137.0,443,176,86,166.0,619,785.0,871.0,1.0,0.0,170.83333333333334,0.5110429423534102,1.9524790274777715,0.6429933269780743,1,0.051489425830110014,0.7580820785376352,0.6605684573178512,0.33313361939771635,0.4803622676352637
Jammu and Kashmir,jammu,1,152,61,4,32.0,460.0,499,621,217,492.0,1120,1612.0,1829.0,1.0,0.0,783.7142857142857,0.4116645349246859,1.408783122307793,0.7827397728243232,1,0.04475590653961624,0.7192075495460746,0.25,0.6840492538060248,0.31732050635797593
Jammu and Kashmir,kathua,1,119,30,0,13.0,240.0,336,279,149,253.0,615,868.0,1017.0,1.0,0.0,562.1666666666666,0.43154698696849236,1.5380463401790416,0.7140961543018269,1,0.07400824995611725,0.8346287736773592,0.3984145719025137,0.511679081555592,0.34993996649632025
Jammu and Kashmir,kishtwar,1,53,17,1,16.0,100.0,274,303,71,116.0,577,693.0,764.0,1.0,0.0,265.8333333333333,0.44237798194806227,1.7232605622742265,0.7743059522449446,1,0.08350348149311554,0.676350076847424,0.5969280336863596,0.6628711874789953,0.3677094653597537
Jammu and Kashmir,kulgam,1,55,25,0,46.0,166.0,217,77,80,212.0,294,506.0,586.0,1.0,0.0,253.0,0.5374825894064899,1.8774228873882097,0.7232677667426672,1,0.05541157145464501,0.7266919374567262,0.605525073369912,0.5347098082315722,0.5237395639174134
Jammu and Kashmir,kupwara,1,241,57,1,102.0,544.0,346,296,299,646.0,642,1288.0,1587.0,1.0,0.0,587.8333333333334,0.42717470948559144,1.5825972179916743,0.6626234995590908,1,0.059684570345551156,0.7495534550086771,0.3812204925354089,0.3824267117772597,0.34276674003747937
Jammu and Kashmir,poonch,1,101,38,2,69.0,244.0,416,410,141,313.0,826,1139.0,1280.0,1.0,0.0,431.7142857142857,0.42617674278011225,1.5738802699623105,0.6717138996353405,1,0.05297572092207906,0.7020916604052825,0.4858045170345795,0.40525350705255503,0.34112946033490293
Jammu and Kashmir,pulwama,1,122,7,1,71.0,389.0,210,240,130,460.0,450,910.0,1040.0,1.0,0.0,383.8333333333333,0.5590733346839809,1.8070203339770534,0.7026754890678941,1,0.05232307168010905,0.6758305954655337,0.5178799285440857,0.48300078521924183,0.5591616765111995
Jammu and Kashmir,rajouri,1,115,74,1,49.0,211.0,442,573,190,260.0,1015,1275.0,1465.0,1.0,0.0,517.0,0.46671231870602253,1.5129794987823624,0.7952625143712247,1,0.05357605485414256,0.7823867336085141,0.4286716855939772,0.7154949608352902,0.4076327568189979
Jammu and Kashmir,ramban,1,66,33,0,32.0,121.0,171,140,99,153.0,311,464.0,563.0,1.0,0.0,374.8333333333333,0.675394506119502,2.1297501178689298,0.8090035851992153,1,0.07068992613547069,0.6206000549622931,0.5239090213091744,0.75,0.75
Jammu and Kashmir,reasi,1,90,61,1,14.0,120.0,158,185,152,134.0,343,477.0,629.0,1.0,0.0,368.5,0.4343970943964052,1.4464842396951854,0.7332535312425186,1,0.09573086248701074,0.6390363843958763,0.5281517162179405,0.5597849424383672,0.3546158970822443
Jammu and Kashmir,samba,1,18,2,0,8.0,64.0,76,55,20,72.0,131,203.0,223.0,1.0,0.0,115.33333333333333,0.4486137732718779,1.4137482009457885,0.7429311461256205,1,0.04742649578507299,0.850072038192932,0.6977478627025647,0.5840862858156388,0.377940001617056
Jammu and Kashmir,shopian,1,42,7,0,25.0,150.0,184,126,49,175.0,310,485.0,534.0,1.0,0.0,171.14285714285714,0.3706308472563295,1.3441295546558705,0.6469923504867872,1,0.04949186152193671,0.8896231045574957,0.6603611075666709,0.34317551966269816,0.25
Jammu and Kashmir,srinagar,1,158,17,0,63.0,737.0,676,959,175,800.0,1635,2435.0,2610.0,1.0,0.0,641.6666666666666,0.5472796262607211,1.813573726704304,0.6843811849917885,1,0.038952629555434146,0.8632513680448766,0.345157585810897,0.43706217631903244,0.5398127349949233
Jammu and Kashmir,udhampur,1,164,32,0,12.0,219.0,258,480,196,231.0,738,969.0,1165.0,1.0,0.0,571.6666666666666,0.4270390947963749,1.5296869139289104,0.7464492874704605,1,0.07567901506961146,0.8135529664964523,0.3920505295393646,0.592920648610961,0.34254424846856596
