state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Punjab,amritsar,1,143,25,7,48.0,865.0,631,1143,175,913.0,1774,2687.0,2862.0,1.0,0.0,1065.2,0.339338114642728,1.331665276619405,0.6799750253862832,1,0.03525424626342057,0.79655274339025,0.49396869419854866,0.47111916473149307,0.25
Punjab,barnala,1,19,8,2,8.0,190.0,107,209,29,198.0,316,514.0,543.0,1.0,0.0,196.66666666666666,0.5019908061939092,1.5022970903522204,0.7484353533811632,1,0.029145877587314132,0.6339832330470061,0.7414516925648722,0.6030004604337226,0.6791778910120048
Punjab,bathinda,1,75,17,0,27.0,490.0,429,770,92,517.0,1199,1716.0,1808.0,1.0,0.0,527.0,0.4343756689185668,1.412949614930476,0.7496374315652079,1,0.027862467617151013,0.7487122276568199,0.6473253295847422,0.6053161319049294,0.5007675509212761
Punjab,faridkot,1,24,2,1,4.0,156.0,116,231,27,160.0,347,507.0,534.0,1.0,0.0,189.33333333333334,0.448880975267774,1.4244974612227863,0.7728062864626741,1,0.026338364517400476,0.7031883897794969,0.7435412788267923,0.6499483837989505,0.5390414751217671
Punjab,fatehgarh sahib,1,18,3,1,7.0,150.0,112,236,22,157.0,348,505.0,527.0,1.0,0.0,210.33333333333334,0.46179941873155145,1.514122418004601,0.7811025546999144,1,0.0299286171650817,0.7017170817381685,0.7375574636222029,0.6659302325085028,0.5731282785313327
Punjab,fazilka,1,40,3,0,17.0,322.0,239,335,43,339.0,574,913.0,956.0,1.0,0.0,383.5,0.42806356749877744,1.3427261095216871,0.7250208159866778,1,0.033080782667452596,0.778922839837351,0.6882147334827704,0.5578949282182768,0.4841123431324357
Punjab,ferozepur,1,25,3,0,13.0,290.0,196,344,28,303.0,540,843.0,871.0,1.0,0.0,347.8333333333333,0.4587796748445255,1.5152101950830184,0.7149659680934062,1,0.027306388936136808,0.7627780011394943,0.6983777212112001,0.5385253691306742,0.5651603359140267
Punjab,gurdaspur,1,57,10,1,32.0,646.0,287,662,68,678.0,949,1627.0,1695.0,1.0,0.0,657.1111111111111,0.3393462939051895,1.230473041709054,0.727232203727594,1,0.030081383519837232,0.8758330577523354,0.6102510036346137,0.5621549235924426,0.25002158192760154
Punjab,hoshiarpur,1,63,5,17,22.0,490.0,357,618,85,512.0,975,1487.0,1572.0,1.0,0.0,529.3333333333334,0.4020958351437147,1.5384484206107671,0.7502234258632363,1,0.031246720537307166,0.6350012690812038,0.6466604612286767,0.6064449854988514,0.4155934855579015
Punjab,jalandhar,1,140,44,5,46.0,768.0,607,1097,189,814.0,1704,2518.0,2707.0,1.0,0.0,830.5,0.4764387006833644,1.5560077403395376,0.7326854564712032,1,0.03313583497915295,0.637951608996745,0.5608449526993655,0.5726600155001633,0.6117557128153341
Punjab,kapurthala,1,34,5,30,15.0,296.0,214,417,69,311.0,631,942.0,1011.0,1.0,0.0,445.1111111111111,0.4266974943934189,1.6090330213299002,0.8247436474437727,1,0.04646415440110419,0.4473891421747057,0.6706590428428505,0.75,0.4805078016475411
Punjab,ludhiana,1,255,86,29,80.0,1493.0,993,1341,370,1573.0,2334,3907.0,4277.0,1.0,0.0,1921.4,0.3551754936117836,1.3800523808794474,0.661561959777952,1,0.04904708663266504,0.7264747816232638,0.25,0.4356484180757293,0.29178875148191663
Punjab,malerkotla,1,21,7,0,12.0,136.0,77,65,28,148.0,142,290.0,318.0,1.0,0.0,166.66666666666666,0.5201303508320424,1.542179119033429,0.5728933951996333,1,0.054179985913203665,0.5335611802542144,0.75,0.26483817618614874,0.727041172200084
Punjab,mansa,1,20,5,0,8.0,158.0,139,269,25,166.0,408,574.0,599.0,1.0,0.0,224.66666666666666,0.4245380193316385,1.262728154183748,0.775274639182437,1,0.02293023967884056,0.8004242957788505,0.7334732722920861,0.6547033939554427,0.4748097775701694
Punjab,moga,1,35,4,2,14.0,280.0,165,384,41,294.0,549,843.0,884.0,1.0,0.0,302.6666666666667,0.4207445970050349,1.2921288490549294,0.7502203714398614,1,0.02685834294672701,0.7627492367523385,0.7112476729607538,0.6064391014880075,0.4648003951349744
Punjab,pathankot,1,28,3,0,4.0,105.0,120,114,31,109.0,234,343.0,374.0,1.0,0.0,235.33333333333334,0.4441716676134199,1.4419563211319595,0.7121358286706541,1,0.04343278991079668,0.6170550345758573,0.7304338740929296,0.5330734166638612,0.5266154235886058
Punjab,patiala,1,133,25,1,28.0,629.0,463,627,159,657.0,1090,1747.0,1906.0,1.0,0.0,743.75,0.377179739108491,1.3788602931112826,0.670326125708077,1,0.03257400320812872,0.69114731910394,0.5855638083659436,0.45253162025233395,0.34984949173481106
Punjab,rupnagar,1,28,4,1,11.0,195.0,246,379,33,206.0,625,831.0,864.0,1.0,0.0,252.66666666666666,0.4618174351165775,1.4648315027704928,0.7995202959530052,1,0.02989371561532546,0.7337801742258956,0.7254948520193002,0.7014099862798793,0.5731758168416762
Punjab,s.a.s. nagar,1,91,26,5,56.0,696.0,291,311,122,752.0,602,1354.0,1476.0,1.0,0.0,568.25,0.3874341880745894,1.4011544011544013,0.5651908138506969,1,0.0409992784992785,0.6571626921096312,0.6355714068614414,0.25,0.3769070383317299
Punjab,s.b.s. nagar,1,11,1,7,11.0,163.0,160,376,19,174.0,536,710.0,729.0,1.0,0.0,214.16666666666666,0.4708281778933496,1.5778007641806169,0.7901748904222541,1,0.027126300901395367,0.5846950075491824,0.7364651798943809,0.683407089911191,0.5969517011784553
Punjab,sangrur,1,44,9,0,13.0,386.0,308,458,53,399.0,766,1165.0,1218.0,1.0,0.0,388.7142857142857,0.52883144008832,1.6693066455468357,0.7457619944551438,1,0.02798720467379118,0.6563495099237461,0.6867289562380934,0.5978505283582156,0.75
Punjab,sri muktsar sahib,1,42,6,0,12.0,249.0,215,429,48,261.0,644,905.0,953.0,1.0,0.0,338.8333333333333,0.44229064214334146,1.3969635569761136,0.7512674690296698,1,0.029008875317485232,0.739125115343622,0.7009422134417385,0.6084562198821953,0.521652120882151
Punjab,tarn taran,1,35,6,1,10.0,286.0,226,475,42,296.0,701,997.0,1039.0,1.0,0.0,484.14285714285717,0.41277990266061876,1.3459588755513616,0.7389599881480131,1,0.03718536724527639,0.7957333363833914,0.6595371973492106,0.5847472109854707,0.4437846302638708
